Date & Time,Open,High,Low,Close,Volume,Turnover (₹ Cr)
18.05.2024,67450.6,67724.4,67371.05,67657,97685399,3508.65
21.05.2024,68054.05,68324.25,67706.9,68241.75,637336995,24677.63
22.05.2024,68573.7,68611.35,67662.05,68328.25,521202919,21330.98
23.05.2024,68546,68858,68226.55,68819.8,611374803,21579.78
24.05.2024,68949.1,69458.95,68671.5,69033.25,488828664,24241.35
27.05.2024,69427.45,69599.65,68564.65,69136.3,500304775,20655.32
28.05.2024,69343.65,69453.8,68032.2,68545.6,407142331,17503.37
29.05.2024,68191,68535.45,67899.85,68070.5,408808905,17025.67
30.05.2024,68000.7,68161.35,67162.3,67358.2,441515457,16372.81
31.05.2024,67799.1,67926.1,66816.3,67527.65,1119396354,43157.88
03.06.2024,70871.9,70871.9,69492.65,70620.25,979667689,38714.03
04.06.2024,70511.3,70511.3,60663.4,64022.15,1886775118,70411.15
05.06.2024,65266.6,67079.5,62764.25,66835.4,1142239634,46012.86
06.06.2024,67567.55,68790.3,67553.7,68224.45,678593819,29407.02
07.06.2024,68331.05,69300,67897.7,69222.25,501952269,21470.65
10.06.2024,69722.25,70049.5,69233.4,69744.6,490962931,19496.22
11.06.2024,69922.15,70183.9,69598.1,69678.7,453914589,19013.08
12.06.2024,69991.35,70361.95,69858.4,70202.15,454679319,18668.71
13.06.2024,70831.4,70933.55,70231.8,70842.55,462779848,22084.47
14.06.2024,71215.55,71970.25,71078.05,71892.15,446774237,24211.5
18.06.2024,72333.85,72414.35,72051.2,72345.7,433539650,24191.6
19.06.2024,72596.4,72614.6,71303.95,71536.7,532656721,22633.24
20.06.2024,71649.85,71843.6,71025.75,71632.2,394450872,18862.72
21.06.2024,71847.4,71878.25,70970.8,71111.8,457090268,20095.78
24.06.2024,70944.85,71693.1,70383.1,71642.25,387971216,17047.34
25.06.2024,71915.7,72049.35,71257.3,71360.85,355717608,16287.28
26.06.2024,71271.1,71520.1,71032.55,71235.8,491194588,21603.12
27.06.2024,71204.8,71578.2,70654.35,71340.65,547466175,23011.18
28.06.2024,71536.05,71829,71365.15,71523.45,453449939,16587.95
01.07.2024,71727.5,72247.65,71536.05,72197.25,396196687,16464.9
02.07.2024,72428,72431.7,71335.2,71807.5,423717569,17315.62
03.07.2024,72220.4,72635.85,72112.7,72584.95,400298329,16861.49
04.07.2024,72877.2,73131.8,72534.95,72928.25,334986557,15752.23
05.07.2024,72984.85,73483.8,72785.65,73426.55,555833181,19210.16
08.07.2024,73693.75,73812.2,73232.35,73508.8,635894517,22980.3
09.07.2024,73823.9,74096,73446.5,73863.6,494006856,18571.67
10.07.2024,74148.7,74158.9,72254,73897.5,563816077,21627.62
11.07.2024,74155.45,74308.55,73787.05,74059.2,438903542,16814.33
12.07.2024,74322.4,74453.3,73424.4,73732.1,610851369,20408.15
15.07.2024,74053,74430.95,73744.65,74367.35,519828373,17796.84
16.07.2024,74612.45,74715.6,73807.5,73921.7,433845070,18585.43
18.07.2024,73906.25,73943.35,72648.05,73112.5,513123833,24854.01
19.07.2024,73047.85,73059.6,71246.9,71353,474255411,20461.83
22.07.2024,71092.1,72352,70696.3,72265.95,364674089,17638.54
23.07.2024,72627,72635.2,68938.5,71632.2,595576725,27110.19
24.07.2024,71704.3,72163.75,71449.9,71844.65,405227039,18917.68
25.07.2024,71340.2,72355.4,71055.3,72210.25,467687099,17317.58
26.07.2024,72611.2,73457.85,72559.6,73400.65,421969979,18698.39
29.07.2024,73836.2,74365.5,73571.6,74288.3,679980926,25619.78
30.07.2024,74495.85,74656.65,74118.95,74215.85,442376662,21950.67
31.07.2024,74514.8,74879.05,74381.25,74788.1,423613295,20477.52
01.08.2024,74936.7,75057.3,73921.3,74294.65,489063845,25854.54
02.08.2024,73621.4,74241.25,73173.45,73328.15,723628855,27387.54
05.08.2024,71459.55,72084.95,70269.45,70936.9,775888423,28806.27
06.08.2024,71496.4,72456.65,70081,70282.45,541173307,22765.32
07.08.2024,71577.65,72491.05,71077.35,72401.25,482082423,21244.35
08.08.2024,72465.1,72495.55,71716.4,71825.9,337357739,16212.11
09.08.2024,72658.9,72900,72241.2,72718.85,306632494,17893.55
12.08.2024,72401.5,72736.65,71965.85,72434.25,335488037,17682.56
13.08.2024,72596.85,72669,71534.25,71609.8,321505235,15482.15
14.08.2024,71840.1,71921.65,71100.1,71642.4,307122540,15655.92
16.08.2024,72208.55,73001.85,71885.2,72943.2,302678541,15577.56
19.08.2024,73446.45,73664.35,73249.85,73370.75,317458882,15151.76
20.08.2024,73628.8,74002.75,73314.95,73971.3,397686854,16061.8
21.08.2024,74088.95,74256.05,73922.05,74178.5,276669176,12787.64
22.08.2024,74546.15,74713.65,74382,74660.35,258349079,13268.08
23.08.2024,74904.35,74958.6,74325.25,74403.6,327612786,15867.01
26.08.2024,74752.5,74817.25,74433.5,74768.8,240717013,12346.06
27.08.2024,74884.55,74933.35,74622.6,74848.95,248407398,13230.81
