Date & time,Open,High,Low,Close,Volume
30.09.2024 15:44:00.000,1.11746,1.11752,1.11727,1.11740,335.56
30.09.2024 15:45:00.000,1.11739,1.11739,1.11701,1.11714,445.41
30.09.2024 15:46:00.000,1.11712,1.11737,1.11710,1.11714,433.89
30.09.2024 15:47:00.000,1.11712,1.11713,1.11690,1.11702,546.53
30.09.2024 15:48:00.000,1.11702,1.11736,1.11702,1.11733,480.69
30.09.2024 15:49:00.000,1.11732,1.11744,1.11725,1.11744,307.89
30.09.2024 15:50:00.000,1.11743,1.11747,1.11731,1.11737,285.03
30.09.2024 15:51:00.000,1.11737,1.11751,1.11735,1.11743,332.16
30.09.2024 15:52:00.000,1.11742,1.11760,1.11729,1.11759,407.88
30.09.2024 15:53:00.000,1.11759,1.11760,1.11748,1.11748,254.96
30.09.2024 15:54:00.000,1.11748,1.11748,1.11718,1.11725,258.57
30.09.2024 15:55:00.000,1.11728,1.11735,1.11701,1.11701,442.26
30.09.2024 15:56:00.000,1.11701,1.11709,1.11682,1.11701,423.21
30.09.2024 15:57:00.000,1.11701,1.11717,1.11701,1.11714,172.23
30.09.2024 15:58:00.000,1.11713,1.11715,1.11691,1.11691,268.14
30.09.2024 15:59:00.000,1.11690,1.11700,1.11685,1.11686,335.82
30.09.2024 16:00:00.000,1.11684,1.11686,1.11667,1.11674,453.84
30.09.2024 16:01:00.000,1.11673,1.11680,1.11663,1.11665,169.95
30.09.2024 16:02:00.000,1.11666,1.11671,1.11651,1.11656,229.92
30.09.2024 16:03:00.000,1.11656,1.11659,1.11633,1.11651,342.24
30.09.2024 16:04:00.000,1.11651,1.11664,1.11650,1.11660,416.88
30.09.2024 16:05:00.000,1.11659,1.11676,1.11655,1.11668,192.39
30.09.2024 16:06:00.000,1.11669,1.11679,1.11656,1.11662,266.67
30.09.2024 16:07:00.000,1.11664,1.11665,1.11631,1.11642,213.3
30.09.2024 16:08:00.000,1.11642,1.11656,1.11635,1.11656,144.21
30.09.2024 16:09:00.000,1.11657,1.11667,1.11631,1.11631,342.7
30.09.2024 16:10:00.000,1.11631,1.11640,1.11627,1.11634,294.81
30.09.2024 16:11:00.000,1.11633,1.11633,1.11610,1.11610,236.44
30.09.2024 16:12:00.000,1.11610,1.11620,1.11601,1.11604,449.19
30.09.2024 16:13:00.000,1.11604,1.11616,1.11599,1.11607,432.21
30.09.2024 16:14:00.000,1.11607,1.11639,1.11607,1.11639,284.19
30.09.2024 16:15:00.000,1.11640,1.11655,1.11631,1.11635,295.11
30.09.2024 16:16:00.000,1.11637,1.11645,1.11631,1.11641,414.93
30.09.2024 16:17:00.000,1.11642,1.11649,1.11635,1.11641,205.11
30.09.2024 16:18:00.000,1.11641,1.11646,1.11611,1.11625,333.55
30.09.2024 16:19:00.000,1.11626,1.11628,1.11610,1.11616,382.41
30.09.2024 16:20:00.000,1.11616,1.11628,1.11602,1.11604,636.98
30.09.2024 16:21:00.000,1.11605,1.11631,1.11596,1.11630,200.37
30.09.2024 16:22:00.000,1.11629,1.11631,1.11601,1.11601,320.34
30.09.2024 16:23:00.000,1.11601,1.11608,1.11597,1.11604,254.4
30.09.2024 16:24:00.000,1.11602,1.11606,1.11587,1.11587,440.19
30.09.2024 16:25:00.000,1.11586,1.11587,1.11486,1.11487,593.04
30.09.2024 16:26:00.000,1.11486,1.11489,1.11463,1.11485,446.19
30.09.2024 16:27:00.000,1.11486,1.11486,1.11449,1.11450,715.09
30.09.2024 16:28:00.000,1.11448,1.11448,1.11409,1.11427,1170.11
30.09.2024 16:29:00.000,1.11429,1.11481,1.11424,1.11451,640.47
30.09.2024 16:30:00.000,1.11453,1.11487,1.11453,1.11465,610.77
30.09.2024 16:31:00.000,1.11462,1.11466,1.11454,1.11461,492.51
30.09.2024 16:32:00.000,1.11460,1.11475,1.11455,1.11462,594.27
30.09.2024 16:33:00.000,1.11462,1.11511,1.11462,1.11506,263.43
30.09.2024 16:34:00.000,1.11507,1.11537,1.11507,1.11521,480.07
30.09.2024 16:35:00.000,1.11520,1.11537,1.11500,1.11537,397.8
30.09.2024 16:36:00.000,1.11537,1.11542,1.11512,1.11512,431.97
30.09.2024 16:37:00.000,1.11513,1.11518,1.11486,1.11488,423.69
30.09.2024 16:38:00.000,1.11486,1.11488,1.11466,1.11467,151.95
30.09.2024 16:39:00.000,1.11467,1.11536,1.11467,1.11532,519.39
30.09.2024 16:40:00.000,1.11532,1.11532,1.11484,1.11496,693.22
30.09.2024 16:41:00.000,1.11495,1.11518,1.11489,1.11517,336.12
30.09.2024 16:42:00.000,1.11514,1.11522,1.11482,1.11483,229.47
30.09.2024 16:43:00.000,1.11483,1.11483,1.11449,1.11458,433.44
30.09.2024 16:44:00.000,1.11462,1.11476,1.11448,1.11470,479.94
30.09.2024 16:45:00.000,1.11469,1.11489,1.11462,1.11488,616.46
30.09.2024 16:46:00.000,1.11487,1.11501,1.11465,1.11482,365.83
30.09.2024 16:47:00.000,1.11481,1.11538,1.11481,1.11523,404.63
30.09.2024 16:48:00.000,1.11524,1.11581,1.11523,1.11568,704.98
30.09.2024 16:49:00.000,1.11573,1.11592,1.11558,1.11566,330.66
30.09.2024 16:50:00.000,1.11567,1.11576,1.11544,1.11566,696.66
30.09.2024 16:51:00.000,1.11566,1.11577,1.11542,1.11545,677.64
30.09.2024 16:52:00.000,1.11544,1.11569,1.11524,1.11526,844.02
30.09.2024 16:53:00.000,1.11526,1.11582,1.11524,1.11582,701.19
30.09.2024 16:54:00.000,1.11585,1.11602,1.11581,1.11593,513.99
30.09.2024 16:55:00.000,1.11589,1.11638,1.11586,1.11638,556.02
30.09.2024 16:56:00.000,1.11642,1.11653,1.11623,1.11628,371.43
30.09.2024 16:57:00.000,1.11628,1.11642,1.11608,1.11613,342.39
30.09.2024 16:58:00.000,1.11611,1.11622,1.11593,1.11593,402.78
30.09.2024 16:59:00.000,1.11594,1.11597,1.11583,1.11583,364.11
30.09.2024 17:00:00.000,1.11582,1.11601,1.11565,1.11594,399.18
30.09.2024 17:01:00.000,1.11593,1.11628,1.11589,1.11597,428.76
30.09.2024 17:02:00.000,1.11596,1.11634,1.11593,1.11632,294.77
30.09.2024 17:03:00.000,1.11631,1.11635,1.11615,1.11631,337.3
30.09.2024 17:04:00.000,1.11631,1.11642,1.11612,1.11612,220.47
